Event 	Event_Category
?	OTHER
APACHE COUNTY	OTHER
DENSE FOG	DUST / FOG
HEAVY MIX	OTHER
HIGH	OTHER
OTHER	OTHER
SEICHE	OTHER
HEAVY SEAS	SEAS
HIGH WAVES	SEAS
HAZARDOUS SURF	SEAS
HIGH TIDES	SEAS
   HIGH SURF ADVISORY	SEAS
MARINE ACCIDENT	SEAS
MARINE HAIL	SEAS
MARINE HIGH WIND	SEAS
MARINE MISHAP	SEAS
MARINE STRONG WIND	SEAS
MARINE THUNDERSTORM WIND	SEAS
MARINE TSTM WIND	SEAS
RIP CURRENT	SEAS
RIP CURRENTS	SEAS
RIP CURRENTS/HEAVY SURF	SEAS
ROGUE WAVE	SEAS
ROUGH SEAS	SEAS
ROUGH SURF	SEAS
 TSTM WIND	WIND
 TSTM WIND (G45)	WIND
GRADIENT WIND	WIND
GUSTY WIND	WIND
GUSTY WIND/HAIL	WIND
GUSTY WIND/HVY RAIN	WIND
GUSTY WIND/RAIN	WIND
GUSTY WINDS	WIND
HIGH  WINDS	WIND
HIGH WIND	WIND
HIGH WIND (G40)	WIND
HIGH WIND 48	WIND
HIGH WIND AND SEAS	WIND
HIGH WIND DAMAGE	WIND
HIGH WIND/BLIZZARD	WIND
HIGH WIND/HEAVY SNOW	WIND
HIGH WIND/SEAS	WIND
HIGH WINDS	WIND
HIGH WINDS HEAVY RAINS	WIND
HIGH WINDS/	WIND
HIGH WINDS/COASTAL FLOOD	WIND
HIGH WINDS/COLD	WIND
HIGH WINDS/HEAVY RAIN	WIND
HIGH WINDS/SNOW	WIND
DOWNBURST	WIND
FUNNEL CLOUD	WIND
STORM FORCE WINDS	WIND
STORM SURGE	WIND
STORM SURGE/TIDE	WIND
STRONG WIND	WIND
STRONG WINDS	WIND
NON TSTM WIND	WIND
NON-SEVERE WIND DAMAGE	WIND
NON-TSTM WIND	WIND
MICROBURST	WIND
MICROBURST WINDS	WIND
LANDSLIDE	LANDSLIDE
LANDSLIDES	LANDSLIDE
LANDSLUMP	LANDSLIDE
LANDSPOUT	LANDSLIDE
COASTAL SURGE	LANDSLIDE
MUD SLIDE	LANDSLIDE
MUD SLIDES	LANDSLIDE
MUD SLIDES URBAN FLOODING	LANDSLIDE
MUDSLIDE	LANDSLIDE
MUDSLIDES	LANDSLIDE
ROCK SLIDE	LANDSLIDE
ASTRONOMICAL HIGH TIDE	TIDE / FLOOD / SURF
ASTRONOMICAL LOW TIDE	TIDE / FLOOD / SURF
 FLASH FLOOD	TIDE / FLOOD / SURF
BEACH EROSION	TIDE / FLOOD / SURF
BREAKUP FLOODING	TIDE / FLOOD / SURF
COASTAL  FLOODING/EROSION	TIDE / FLOOD / SURF
COASTAL EROSION	TIDE / FLOOD / SURF
COASTAL FLOOD	TIDE / FLOOD / SURF
COASTAL FLOODING	TIDE / FLOOD / SURF
COASTAL FLOODING/EROSION	TIDE / FLOOD / SURF
COASTAL STORM	TIDE / FLOOD / SURF
COASTALSTORM	TIDE / FLOOD / SURF
EROSION/CSTL FLOOD	TIDE / FLOOD / SURF
FLASH FLOOD	TIDE / FLOOD / SURF
FLASH FLOOD - HEAVY RAIN	TIDE / FLOOD / SURF
FLASH FLOOD FROM ICE JAMS	TIDE / FLOOD / SURF
FLASH FLOOD LANDSLIDES	TIDE / FLOOD / SURF
FLASH FLOOD WINDS	TIDE / FLOOD / SURF
FLASH FLOOD/	TIDE / FLOOD / SURF
FLASH FLOOD/ STREET	TIDE / FLOOD / SURF
